A+AF8-id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0.0,+AC0-3.970048523,+AC0-2.512336381,5.346329613,+AC0-1.012008712,1.844900361,0.329839797,+AC0-0.491590483,1.0
1.0,+AC0-1.195217191,+AC0-2.839256528,3.664058758,1.588232309,0.853285795,0.867530082,+AC0-0.722809367,1.0
2.0,+AC0-0.292023862,+AC0-1.351281995,+AC0-1.738429162,+AC0-0.342615928,2.838635512,+AC0-0.038033328,2.621636473,0.0
3.0,+AC0-0.657195773,+AC0-2.271626609,1.324873847,+AC0-0.097874716,3.637970491,+AC0-3.413761338,0.790723217,1.0
4.0,1.36421682,+AC0-1.296611877,+AC0-0.384658206,+AC0-0.55300577,3.030874354,+AC0-1.303849429,0.501984036,1.0
5.0,+AC0-3.425399755,+AC0-1.409082204,+AC0-1.913511195,+AC0-0.555774864,+AC0-3.85307147,1.914615916,+AC0-2.981523169,0.0
6.0,1.331605736,1.635955715,0.875974244,+AC0-1.67779794,3.106344455,+AC0-1.847416733,2.414170509,1.0
7.0,+AC0-1.995462096,+AC0-0.42895848,1.530643583,+AC0-0.742971676,0.158834003,0.974437858,+AC0-1.470125066,1.0
8.0,+AC0-3.867632233,+AC0-3.734513576,0.986429067,+AC0-1.20765455,2.292872919,4.080920787,+AC0-4.871904758,0.0
9.0,+AC0-0.727982709,+AC0-0.442820353,+AC0-4.092222827,0.597512917,0.393714261,1.620856772,2.185607723,0.0
10.0,+AC0-2.69933629,+AC0-1.329506988,+AC0-1.418506853,+AC0-0.625545768,2.371074371,3.403164523,+AC0-2.810808169,0.0
11.0,2.450959845,+AC0-0.564177407,+AC0-1.635040727,0.942399869,+AC0-2.08731667,1.214321691,1.294323927,1.0
12.0,+AC0-0.170811719,+AC0-1.867271142,+AC0-1.771844728,2.413155317,+AC0-3.094554738,+AC0-0.624884375,+AC0-2.076113997,0.0
13.0,+AC0-1.345530536,+AC0-1.623701121,2.044143754,1.754812932,0.997567093,0.434179855,1.724026084,1.0
14.0,2.839580937,+AC0-0.344798192,+AC0-1.019797291,0.894580857,+AC0-1.300060883,0.58237862,1.709708209,1.0
15.0,+AC0-2.659887385,+AC0-2.795684208,4.230403587,0.697550395,2.180911101,+AC0-0.088775396,+AC0-1.083620788,1.0
16.0,+AC0-1.468951547,+AC0-1.950359588,+AC0-2.214372889,0.909758509,2.864448854,3.965955655,+AC0-0.558208683,0.0
17.0,+AC0-0.074370177,+AC0-4.714749953,0.249767641,2.935319065,1.4097551,+AC0-2.643810206,1.250970347,1.0
18.0,+AC0-0.302364267,1.724395847,+AC0-2.442337223,3.465108479,0.449791675,+AC0-0.074362452,2.493781985,0.0
19.0,+AC0-2.108049899,0.356467403,+AC0-1.156193279,4.326722517,1.561543116,+AC0-4.630174264,+AC0-1.37665721,1.0
20.0,+AC0-2.334589505,+AC0-2.943708903,+AC0-3.452627724,0.76239173,4.076462369,6.346445353,0.726775672,0.0
21.0,1.177592782,+AC0-0.721654493,+AC0-1.387116215,7.619851801,1.069288382,+AC0-3.734805414,2.642948241,1.0
