geo_level_1_id,geo_level_2_id,geo_level_3_id,count_floors_pre_eq,age,area_percentage,height_percentage,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,damage_grade
6,487,12198,2,30,6,5,1,1,2
8,900,2812,2,10,8,7,0,1,1
21,363,8973,2,10,5,5,0,1,2
22,418,10694,2,10,6,5,0,1,1
11,131,1488,3,30,8,9,1,0,2
8,558,6089,2,10,9,5,0,1,1
9,475,12066,2,25,3,4,0,1,2
20,323,12236,2,0,8,6,0,0,0
0,757,7219,2,15,8,6,0,1,1
26,886,994,1,0,13,4,0,0,0
17,1119,12188,2,20,9,6,0,1,2
17,1275,4004,1,10,8,4,0,0,1
12,335,8167,2,15,6,5,0,1,1
17,817,6284,3,45,7,7,0,1,2
18,1295,6994,2,25,7,6,0,0,2
4,484,11114,2,55,4,4,0,1,1
6,706,12267,2,5,7,5,0,1,1
27,216,12323,3,10,7,7,1,1,2
26,1401,3904,1,20,12,3,0,0,1
8,41,6024,2,20,16,4,0,1,2
27,216,12323,3,40,7,5,1,0,1
25,211,10587,2,30,6,5,0,1,1
10,90,11215,2,0,6,5,0,1,1
4,1235,4976,3,25,6,6,0,1,1
11,660,9780,2,80,5,5,0,1,1
21,1051,759,2,40,5,5,0,1,2
7,1328,5612,3,10,11,5,0,1,1
4,707,12040,2,15,8,5,0,1,1
3,1229,7251,2,10,7,6,0,1,1
27,548,1119,3,60,27,10,1,0,2
25,843,5236,2,35,11,5,0,1,1
20,953,6651,2,15,13,5,0,0,1
6,706,11722,2,20,4,4,0,1,1
10,405,5132,2,10,3,6,0,1,1
18,256,3430,2,15,7,5,0,1,2
21,336,5107,2,25,5,4,0,1,2
13,305,5956,2,0,9,8,0,1,0
17,303,4121,3,0,10,7,0,1,2
6,1210,9423,3,40,5,7,0,1,2
4,1218,2175,2,0,9,4,0,1,1
10,825,7934,2,20,8,5,0,0,1
7,728,5682,2,30,3,5,1,1,1
17,1030,1525,3,70,16,7,0,1,2
10,1207,8379,2,20,5,5,0,1,1
6,724,7981,2,10,5,5,0,1,1
7,157,5265,1,5,11,3,0,0,0
20,261,11561,2,15,7,5,0,0,1
26,1028,5591,2,15,10,5,0,1,1
10,1097,399,2,20,7,4,0,1,2
26,762,742,1,0,15,3,0,1,0
20,261,2189,2,10,7,5,0,1,1
10,825,8577,2,30,11,5,0,0,1
8,463,8236,2,10,6,6,0,0,1
10,661,8482,1,0,12,3,0,0,0
10,417,9845,2,25,3,5,0,1,2
17,618,2018,2,10,6,5,0,1,2
10,804,5797,1,30,5,2,0,1,2
30,73,12532,2,45,10,5,0,1,1
17,1183,12265,2,25,6,5,1,1,2
13,221,7919,3,20,7,6,0,1,1
6,1210,1547,3,10,13,9,0,1,1
8,440,4222,2,5,5,5,0,1,1
6,139,2223,2,20,15,7,0,1,1
7,1356,11548,1,0,16,2,0,1,2
